playoff_Rk,Player,playoff_Season,playoff_Age,playoff_Team,playoff_G,playoff_GS,playoff_AS,playoff_MP,playoff_FG,playoff_FGA,playoff_2P,playoff_2PA,playoff_3P,playoff_3PA,playoff_FT,playoff_FTA,playoff_ORB,playoff_DRB,playoff_TRB,playoff_AST,playoff_STL,playoff_BLK,playoff_TOV,playoff_PF,playoff_PTS,playoff_FG%,playoff_2P%,playoff_3P%,playoff_FT%,playoff_TS%,playoff_eFG%,playoff_Pos,playoff_WS,playoff_ORtg,playoff_DRtg,playoff_OWS,playoff_DWS,playoff_WS/48,playoff_OBPM,playoff_DBPM,playoff_BPM,playoff_VORP,playoff_PER,playoff_ORB%,playoff_DRB%,playoff_TRB%,playoff_AST%,playoff_STL%,playoff_BLK%,playoff_TOV%,playoff_USG%
1,Omer Yurtseven,2021-22,23,MIA,9,0,0,4.2,1.3,2.0,1.3,1.8,0.0,0.2,0.1,0.3,0.1,0.7,0.8,0.3,0.0,0.1,0.0,0.2,2.8,0.667,0.75,0.0,0.333,0.647,0.667,C,0.2,132.0,110.0,0.1,0.0,0.228,5.1,2.8,8.0,0.1,25.8,3.0,19.3,10.8,16.6,0.0,2.9,0.0,22.6
2,Trae Young,2021-22,23,ATL,5,5,1,37.2,4.4,13.8,3.0,6.2,1.4,7.6,5.2,6.6,1.0,4.0,5.0,6.0,0.6,0.0,6.2,2.6,15.4,0.319,0.484,0.184,0.788,0.461,0.37,G,-0.5,83.0,117.0,-0.6,0.1,-0.139,-4.0,-4.1,-8.1,-0.3,5.3,3.2,13.2,8.1,27.0,0.8,0.0,27.1,28.3
3,Thaddeus Young,2021-22,33,TOR,6,0,0,14.5,1.5,3.0,1.3,1.8,0.2,1.2,0.2,0.7,1.2,1.8,3.0,1.7,0.8,0.2,0.5,1.3,3.3,0.5,0.727,0.143,0.25,0.506,0.528,F,0.1,115.0,117.0,0.1,0.0,0.067,-0.6,2.3,1.7,0.1,14.3,9.0,17.2,12.7,16.9,3.0,1.3,13.2,12.1
4,Delon Wright,2021-22,29,ATL,5,0,0,27.4,3.0,5.8,2.0,3.2,1.0,2.6,1.2,1.8,2.2,2.6,4.8,2.8,0.8,0.2,1.0,0.4,8.2,0.517,0.625,0.385,0.667,0.622,0.603,G,0.4,129.0,116.0,0.3,0.1,0.13,3.3,1.5,4.8,0.2,15.9,9.5,11.7,10.6,16.8,1.5,0.7,13.2,12.8
5,Ziaire Williams,2021-22,20,MEM,10,1,0,16.8,2.3,5.2,1.2,1.6,1.1,3.6,1.2,1.3,0.4,1.2,1.6,0.5,0.5,0.0,0.2,1.4,6.9,0.442,0.75,0.306,0.923,0.598,0.548,F,0.4,125.0,112.0,0.3,0.1,0.126,-0.9,0.4,-0.6,0.1,11.8,2.4,8.0,5.0,4.3,1.4,0.0,3.3,14.6
6,Robert Williams,2021-22,24,BOS,17,15,0,23.2,3.1,4.6,3.1,4.5,0.0,0.1,1.5,1.6,2.5,3.6,6.2,1.0,0.7,2.2,0.6,2.0,7.7,0.679,0.688,0.0,0.893,0.725,0.679,C-F,2.1,147.0,102.0,1.3,0.8,0.254,2.2,3.8,5.9,0.8,21.7,12.7,17.1,15.0,6.8,1.5,8.8,10.0,11.5
7,Patrick Williams,2021-22,20,CHI,5,5,0,30.6,4.4,9.4,3.0,5.2,1.4,4.2,1.6,2.2,1.2,4.2,5.4,0.8,1.0,0.6,1.4,3.0,11.8,0.468,0.577,0.333,0.727,0.569,0.543,F,0.2,102.0,109.0,0.0,0.2,0.061,-2.3,0.7,-1.6,0.0,11.3,3.6,15.0,8.8,4.3,1.6,1.9,11.9,16.9
8,Grant Williams,2021-22,23,BOS,24,5,0,27.3,2.7,6.3,1.3,2.5,1.5,3.7,1.8,2.2,1.0,2.8,3.8,0.8,0.3,0.8,0.8,3.5,8.6,0.433,0.492,0.393,0.808,0.599,0.55,F,1.4,116.0,110.0,0.6,0.8,0.104,-2.0,1.2,-0.8,0.2,9.5,4.1,11.3,7.8,4.4,0.6,2.5,10.4,13.3
9,Andrew Wiggins,2021-22,26,GSW,22,22,1,34.9,6.5,13.9,4.9,9.1,1.6,4.8,1.9,3.0,2.5,5.0,7.5,1.8,1.0,1.0,1.4,2.5,16.5,0.469,0.54,0.333,0.646,0.544,0.526,F-G,1.7,112.0,110.0,0.8,0.9,0.108,0.5,0.3,0.8,0.5,16.0,8.1,15.8,12.1,7.7,1.4,3.0,8.3,20.8
10,Hassan Whiteside,2021-22,32,UTA,6,0,0,10.8,0.8,2.0,0.8,2.0,0.0,0.0,0.2,0.7,1.3,3.8,5.2,0.0,0.3,1.3,0.0,1.5,1.8,0.417,0.417,,0.25,0.4,0.417,C,0.2,110.0,100.0,0.0,0.2,0.139,-0.6,2.8,2.2,0.1,16.7,14.4,40.9,27.7,0.0,1.6,15.2,0.0,9.9
11,Derrick White,2021-22,27,BOS,23,3,0,25.4,2.8,7.7,1.7,4.0,1.1,3.6,1.8,2.2,0.3,2.7,3.0,2.7,0.9,0.6,1.3,2.0,8.5,0.364,0.409,0.313,0.824,0.494,0.438,G,0.8,101.0,108.0,-0.1,0.9,0.065,-2.0,1.8,-0.1,0.3,10.1,1.6,11.5,6.7,15.9,1.8,2.0,12.8,17.5
12,Coby White,2021-22,21,CHI,5,0,0,19.6,3.0,9.0,1.4,3.2,1.6,5.8,0.8,1.0,0.0,3.4,3.4,1.8,0.2,0.0,1.2,1.0,8.4,0.333,0.438,0.276,0.8,0.445,0.422,G,-0.2,83.0,112.0,-0.2,0.1,-0.078,-3.2,-1.3,-4.5,-0.1,6.5,0.0,18.9,8.7,15.2,0.5,0.0,11.3,23.8
13,Yuta Watanabe,2021-22,27,TOR,4,0,0,2.5,0.5,1.5,0.5,1.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.333,0.4,0.0,,0.333,0.333,F,-0.1,58.0,129.0,-0.1,0.0,-0.419,-11.0,-9.0,-19.9,0.0,-5.7,0.0,0.0,0.0,0.0,0.0,0.0,14.3,32.5
14,Ish Wainright,2021-22,27,PHO,7,0,0,3.7,0.7,1.7,0.3,0.9,0.4,0.9,0.0,0.0,1.0,0.6,1.6,0.1,0.1,0.1,0.4,0.3,1.9,0.417,0.333,0.5,,0.542,0.542,F,0.0,107.0,113.0,0.0,0.0,0.076,7.0,-0.4,6.6,0.1,21.3,33.0,17.7,25.1,5.8,2.0,3.7,20.0,26.5
15,Nikola Vučević,2021-22,31,CHI,5,5,0,36.2,8.0,18.2,5.4,9.8,2.6,8.4,0.8,1.0,2.8,9.6,12.4,3.2,0.4,1.2,1.6,2.8,19.4,0.44,0.551,0.31,0.8,0.52,0.511,C,0.3,103.0,108.0,0.0,0.3,0.075,3.0,1.0,4.0,0.3,17.6,7.2,28.9,17.2,16.5,0.5,3.2,7.9,24.5
16,Gabe Vincent,2021-22,25,MIA,18,8,0,23.5,2.8,7.3,1.4,2.8,1.4,4.5,1.1,1.1,0.2,1.8,1.9,3.2,0.8,0.3,1.4,2.3,8.0,0.382,0.5,0.309,0.95,0.515,0.477,G,0.6,103.0,109.0,0.0,0.5,0.065,-1.7,1.4,-0.3,0.2,10.0,0.8,9.2,4.9,20.0,1.7,1.3,15.2,17.4
17,Luca Vildoza,2021-22,26,MIL,7,0,0,2.4,0.3,0.9,0.1,0.1,0.1,0.7,0.0,0.0,0.1,0.1,0.3,0.6,0.3,0.0,0.0,0.3,0.7,0.333,1.0,0.2,,0.417,0.417,G,0.1,118.0,97.0,0.0,0.0,0.21,0.6,5.0,5.5,0.0,17.9,6.3,5.8,6.0,34.4,5.7,0.0,0.0,15.3
18,Fred VanVleet,2021-22,27,TOR,4,4,1,35.0,4.8,13.5,1.8,4.5,3.0,9.0,1.3,1.5,0.5,2.5,3.0,6.3,1.8,1.0,1.0,3.0,13.8,0.352,0.389,0.333,0.833,0.486,0.463,G,0.2,111.0,118.0,0.1,0.0,0.06,2.6,0.9,3.5,0.2,15.7,1.6,9.7,5.3,27.5,2.6,3.1,6.6,20.1
19,Jarred Vanderbilt,2021-22,22,MIN,6,6,0,21.5,2.2,4.5,2.2,4.5,0.0,0.0,1.2,1.7,2.0,5.2,7.2,0.7,1.2,0.3,0.8,2.7,5.5,0.481,0.481,,0.7,0.525,0.481,F,0.3,110.0,107.0,0.1,0.2,0.098,-1.8,1.2,-0.5,0.0,12.0,10.9,25.4,18.5,4.7,2.5,1.3,13.7,12.1
20,Jonas Valančiūnas,2021-22,29,NOP,6,6,0,29.2,5.5,11.3,5.3,10.3,0.2,1.0,3.3,4.3,5.5,8.8,14.3,3.0,0.7,0.2,2.0,2.8,14.5,0.485,0.516,0.167,0.769,0.548,0.493,C,0.6,122.0,117.0,0.5,0.1,0.154,4.6,-0.9,3.7,0.3,23.9,20.9,38.3,29.0,16.5,1.2,0.5,13.1,22.5
21,Rayjon Tucker,2021-22,24,MIL,8,0,0,2.4,0.1,0.4,0.1,0.3,0.0,0.1,0.0,0.0,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.3,0.3,0.333,0.5,0.0,,0.333,0.333,F,0.0,88.0,109.0,0.0,0.0,0.035,-7.3,-0.6,-7.8,0.0,1.7,5.6,10.4,8.1,0.0,0.0,0.0,0.0,6.8
22,P.J. Tucker,2021-22,36,MIA,18,18,0,28.3,3.0,6.1,1.7,3.2,1.3,2.8,0.6,0.9,1.9,3.7,5.7,1.8,0.8,0.3,0.7,2.8,7.9,0.495,0.534,0.451,0.688,0.612,0.601,F,1.6,127.0,108.0,0.9,0.7,0.149,0.4,1.8,2.2,0.5,12.9,7.8,16.1,11.8,9.2,1.4,1.1,10.1,11.3
23,Gary Trent Jr.,2021-22,23,TOR,6,6,0,33.2,5.2,13.7,3.0,7.2,2.2,6.5,2.8,3.2,0.2,1.5,1.7,1.3,1.0,0.5,0.5,1.8,15.3,0.378,0.419,0.333,0.895,0.509,0.457,G,0.1,107.0,122.0,0.1,-0.1,0.014,-0.7,-0.7,-1.4,0.0,12.4,0.6,6.2,3.1,6.4,1.6,1.6,3.2,21.8
