reg_season_Rk,Player,reg_season_Season,reg_season_Age,reg_season_Team,reg_season_G,reg_season_GS,reg_season_AS,reg_season_MP,reg_season_FG,reg_season_FGA,reg_season_2P,reg_season_2PA,reg_season_3P,reg_season_3PA,reg_season_FT,reg_season_FTA,reg_season_ORB,reg_season_DRB,reg_season_TRB,reg_season_AST,reg_season_STL,reg_season_BLK,reg_season_TOV,reg_season_PF,reg_season_PTS,reg_season_FG%,reg_season_2P%,reg_season_3P%,reg_season_FT%,reg_season_TS%,reg_season_eFG%,reg_season_Pos,reg_season_WS,reg_season_ORtg,reg_season_DRtg,reg_season_OWS,reg_season_DWS,reg_season_WS/48,reg_season_OBPM,reg_season_DBPM,reg_season_BPM,reg_season_VORP,reg_season_PER,reg_season_ORB%,reg_season_DRB%,reg_season_TRB%,reg_season_AST%,reg_season_STL%,reg_season_BLK%,reg_season_TOV%,reg_season_USG%
1,Ivica Zubac,2021-22,24,LAC,76,76,0,24.4,4.1,6.5,4.1,6.5,0.0,0.0,2.2,3.0,2.9,5.6,8.5,1.6,0.5,1.0,1.5,2.7,10.3,0.626,0.626,,0.727,0.66,0.626,C,7.2,126.0,107,4.3,2.9,0.187,-0.1,0.8,0.7,1.3,19.2,12.8,23.7,18.4,9.8,1.0,3.5,16.1,16.8
2,Cody Zeller,2021-22,29,POR,27,0,0,13.1,1.9,3.3,1.9,3.2,0.0,0.1,1.4,1.8,1.9,2.8,4.6,0.8,0.3,0.2,0.7,2.1,5.2,0.567,0.593,0.0,0.776,0.627,0.567,C-F,1.1,127.0,116,0.9,0.2,0.143,-1.2,-1.0,-2.1,0.0,17.2,14.9,24.1,19.3,9.4,1.1,1.7,14.6,15.9
3,Omer Yurtseven,2021-22,23,MIA,56,12,0,12.6,2.3,4.4,2.3,4.2,0.0,0.2,0.7,1.1,1.5,3.7,5.3,0.9,0.3,0.4,0.7,1.5,5.3,0.526,0.547,0.091,0.623,0.546,0.528,C,2.1,112.0,104,0.8,1.4,0.145,-1.4,0.4,-1.0,0.2,17.4,13.9,33.0,23.6,11.0,1.2,3.0,13.0,19.9
4,Trae Young,2021-22,23,ATL,76,76,1,34.9,9.4,20.3,6.3,12.3,3.1,8.0,6.6,7.3,0.7,3.1,3.7,9.7,0.9,0.1,4.0,1.7,28.4,0.46,0.512,0.382,0.904,0.603,0.536,G,10.0,119.0,118,9.0,1.0,0.181,7.1,-2.0,5.2,4.8,25.4,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4
5,Thaddeus Young,2021-22,33,SASTOR,52,1,0,16.3,2.7,5.2,2.4,4.3,0.3,0.9,0.4,0.9,1.5,2.5,4.0,2.0,1.0,0.3,1.0,1.6,6.2,0.518,0.554,0.354,0.469,0.548,0.55,F,2.2,113.0,108,0.9,1.3,0.126,0.1,2.1,2.2,0.9,17.0,9.8,16.8,13.1,17.7,3.1,2.0,15.0,17.4
6,Gabe York,2021-22,28,IND,2,0,0,10.5,1.0,3.5,0.5,0.5,0.5,3.0,1.5,2.5,0.0,1.0,1.0,2.0,1.0,0.5,0.5,2.0,4.0,0.286,1.0,0.167,0.6,0.435,0.357,G,0.0,101.0,108,0.0,0.0,0.059,-3.7,2.2,-1.5,0.0,12.7,0.0,10.8,5.3,25.1,4.7,4.1,9.8,20.8
7,Moses Wright,2021-22,23,DALLAC,4,0,0,3.5,0.3,1.0,0.3,0.8,0.0,0.3,0.8,0.8,0.3,0.5,0.8,0.5,0.0,0.3,0.0,0.0,1.3,0.25,0.333,0.0,1.0,0.47,0.25,F,0.1,126.0,109,0.0,0.0,0.18,1.1,0.4,1.4,0.0,18.3,7.9,15.9,11.9,16.8,0.0,6.5,0.0,17.1
8,McKinley Wright IV,2021-22,23,MIN,5,0,0,3.8,0.4,0.6,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,1.0,0.667,1.0,0.5,,0.833,0.833,G,0.0,138.0,121,0.0,0.0,0.092,-1.4,-2.8,-4.2,0.0,9.5,0.0,0.0,0.0,20.9,0.0,0.0,25.0,8.8
9,Delon Wright,2021-22,29,ATL,77,8,0,18.9,1.6,3.5,1.0,2.0,0.6,1.5,0.7,0.8,0.6,2.2,2.9,2.4,1.2,0.2,0.6,0.7,4.4,0.454,0.51,0.379,0.857,0.576,0.535,G,3.6,126.0,112,2.2,1.5,0.121,-0.2,2.4,2.2,1.6,13.8,3.8,12.7,8.3,16.6,3.1,1.2,13.2,10.3
10,Robert Woodard II,2021-22,22,SAC,12,0,0,3.5,0.2,1.3,0.1,1.0,0.1,0.3,0.2,0.2,0.4,0.5,0.9,0.3,0.1,0.1,0.1,0.3,0.6,0.125,0.083,0.25,1.0,0.207,0.156,F,-0.1,70.0,116,-0.2,0.0,-0.147,-6.8,-3.6,-10.4,-0.1,2.1,12.8,15.7,14.3,9.0,1.1,2.1,5.6,18.3
