,Salary,Adjusted Salary
Golden State,178980766,195195980
Brooklyn,174811922,190649447
LA Clippers,168378382,183633046
LA Lakers,164409293,179304361
Milwaukee,160875421,175450332
Utah,149760719,163328668
Philadelphia,148922969,162415018
Miami,140840240,153600014
Indiana,138181486,150700383
Denver,137963926,150463115
Minnesota,137432702,149883767
Boston,136557646,148929426
Phoenix,136476474,148840901
Cleveland,136385911,148742131
Chicago,136083814,148412668
New Orleans,135793968,148096563
Atlanta,135166020,147411722
Toronto,134896484,147117769
Houston,132267085,144250150
Detroit,131120355,142999530
Sacramento,130457848,142277004
Washington,128019790,139618062
San Antonio,127655401,139220659
Orlando,126786646,138273195
Dallas,126696965,138175392
Portland,124788473,136093994
Charlotte,122139566,133205107
New York,120644081,131574134
Memphis,117284457,127910133
Oklahoma City,82022873,89453934
"('Atlanta', 'John Collins')",23000000,25083744
"('Atlanta', 'Danilo Gallinari')",20475000,22329985
"('Atlanta', 'Bogdan Bogdanovic')",18000000,19630756
"('Atlanta', 'Clint Capela')",17603448,19198277
"('Atlanta', 'Delon Wright')",8526316,9298779
"('Atlanta', 'Trae Young')",8326471,9080829
"('Atlanta', ""De'Andre Hunter"")",7775400,8479832
"('Atlanta', 'Onyeka Okongwu')",6104280,6657312
"('Atlanta', 'Kevin Knox')",5845978,6375609
"('Atlanta', 'Louis Williams')",5000000,5452987
"('Atlanta', 'Kevin Huerter')",4253357,4638700
"('Atlanta', 'Gorgui Dieng')",4000000,4362390
"('Atlanta', 'Jalen Johnson')",2659680,2900640
"('Atlanta', 'Timothe Luwawu')",1939350,2115050
"('Atlanta', 'Skylar Mays')",510907,557193
"('Atlanta', 'Sharife Cooper')",462629,504542
"('Atlanta', 'Lance Stephenson')",138019,150523
"('Atlanta', 'Wesley Iwundu')",102831,112147
"('Atlanta', 'Chris Clemons')",85578,93331
"('Atlanta', 'Cameron Oliver')",85578,93331
"('Atlanta', 'Chaundee Brown')",58494,63793
"('Atlanta', 'Justin Tillman')",53176,57993
"('Atlanta', 'Malik Ellison')",53176,57993
"('Atlanta', 'Anthony Barber')",53176,57993
"('Atlanta', 'Malcolm Hill')",53176,57993
"('Boston', 'Jayson Tatum')",28103500,30649609
"('Boston', 'Al Horford')",27000000,29446134
"('Boston', 'Jaylen Brown')",26758928,29183222
"('Boston', 'Derrick White')",15678571,17099011
"('Boston', 'Marcus Smart')",13839285,15093090
"('Boston', 'Daniel Theis')",8280351,9030530
"('Boston', 'Robert Williams')",3661976,3993742
"('Boston', 'Aaron Nesmith')",3631200,3960177
"('Boston', 'Grant Williams')",2617800,2854966
"('Boston', 'Payton Pritchard')",2137440,2331086
"('Boston', 'Jabari Parker')",1168286,1274129
"('Boston', 'Sam Hauser')",619498,675623
"('Boston', 'Luke Kornet')",606702,661667
"('Boston', 'Brodric Thomas')",462629,504542
"('Boston', 'Nik Stauskas')",423536,461907
"('Boston', 'Malik Fitts')",402218,438657
"('Boston', 'Kelan Martin')",191860,209242
"('Boston', 'Al-Farouq Aminu')",151821,165575
"('Boston', 'Joe Johnson')",151821,165575
"('Boston', 'CJ Miles')",151821,165575
"('Boston', 'Juwan Morgan')",115116,125545
"('Boston', 'Matt Ryan')",111669,121785
"('Boston', 'Justin Jackson')",102831,112147
"('Boston', 'Norvel Pelle')",95930,104621
"('Boston', 'Demetrius Jackson')",92857,101269
"('Brooklyn', 'Kevin Durant')",42018900,45825710
"('Brooklyn', 'Kyrie Irving')",35328700,38529394
